"voteID (S)","choice (S)","timestamp (S)"
"ade596f53789d3db11680fd786043d3c","BlueBottle","2018-10-19 15:13:16"
"b0aa2aad4426bd0bafd35b648947580f","Stumptown","2018-10-19 22:36:59"
"b15d90238bedbd96023da74472038db8","BlueBottle","2018-10-17 20:54:23"
"b7ad9da5df4aa0188001ab42ab1b858a","BlueBottle","2018-10-24 15:07:29"
"b814a2097753d5b15862e3108a4c3f5e","BlueBottle","2018-10-19 16:58:23"
"b97ef94b99e389882e6c7d64839655eb","BlueBottle","2018-10-23 16:06:21"
"bae4caa79ae164c7a523717ac733b3eb","BlueBottle","2018-10-25 16:46:07"
"bd1bb77faac6e8cc18a1c7da9c4556ff","Stumptown","2018-10-24 18:50:22"
"bd8224eca55911dd0fb71c6e1754b799","Stumptown","2018-10-17 16:08:41"
"c4a64e1c3375bddc4f6f64e271bcbb00","BlueBottle","2018-10-23 13:44:39"
"c5fee5b2d7193a2d6c3b16e830abf794","Stumptown","2018-10-16 18:00:18"
"c6ad4ac6db36a53ef5c0547e098c98ef","BlueBottle","2018-10-24 15:23:27"
"c9bb142d776101066f2f77dd83906289","BlueBottle","2018-10-24 15:34:08"
"ce7a65bb945cb43aa6638e56fb079b9a","BlueBottle","2018-10-16 18:05:25"
"d75b49906b8b7137e77b11231ce01302","BlueBottle","2018-10-23 16:37:42"
"d819aff299ad62d530fe32275fee98ad","BlueBottle","2018-10-22 21:59:53"
"dca4e35f696e9b67f89a4b6ed4b90ae5","BlueBottle","2018-10-26 14:52:20"
"e05472825c57f096f7004bdb06785518","BlueBottle","2018-10-17 13:28:53"
"e0ca09233b62a9e9b884f83a7693ad7a","Stumptown","2018-10-19 13:58:41"
"e24d8bc6d57ab352ac72582e3cbc6aed","Stumptown","2018-10-17 20:31:01"
"e361c2e2ac9b5dfc616be7f4ee2cc04c","BlueBottle","2018-10-17 21:31:59"
"ec0593ea8b2cf8006c316d941920ca97","Stumptown","2018-10-25 16:00:18"
"f212a88990781bd716f74658f2d034ec","BlueBottle","2018-10-17 15:52:59"
"f29b12ac8cb7f8d724ed2f1b2e3b7ff3","BlueBottle","2018-10-18 21:29:39"
"f2be0cbfeab10f98c8242897640da141","Stumptown","2018-10-23 15:44:56"
"f8f3a54bc4f8cf85172c1829542af20e","BlueBottle","2018-10-17 16:05:18"
"fa62164594d8b4c29793f56a4ba1f191","BlueBottle","2018-10-18 14:38:47"
